Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Gonzalez, Jose Alejandro, Jr.",https://www.fjc.gov/history/judges/gonzalez-jose-alejandro-jr,history/judges/gonzalez-jose-alejandro-jr,['1931'],"['July 26, 1978']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida, B.A., 1952University of Florida College of Law, J.D., 1957']",['Jimmy Carter'],[]
"Black, Susan Harrell",https://www.fjc.gov/history/judges/black-susan-harrell,history/judges/black-susan-harrell,['1943'],"['July 23, 1979', 'August 11, 1992']",['U.S. District Court for the Middle District of Florida'],[],"['Florida State University, B.A., 1964University of Florida College of Law, J.D., 1967University of Virginia School of Law, LL.M., 1984']","['Jimmy Carter', 'George H.W. Bush']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Eleventh CircuitNominated by George H.W. Bush on March 10, 1992, to a seat vacated by Thomas Alonzo Clark. Confirmed by the Senate on August 11, 1992, and received commission on August 12, 1992. Assumed senior status on February 25, 2011.']"
"Castagna, William John",https://www.fjc.gov/history/judges/castagna-william-john,history/judges/castagna-william-john,['1924'],"['July 23, 1979']",['U.S. District Court for the Middle District of Florida'],[],"['University of Florida College of Law, LL.B., 1949University of Florida College of Law, J.D., 1967']",['Jimmy Carter'],[]
"Spellman, Eugene P.",https://www.fjc.gov/history/judges/spellman-eugene-p,history/judges/spellman-eugene-p,['1930'],"['October 4, 1979']",['U.S. District Court for the Southern District of Florida'],['1991'],"['University of Florida, B.A., 1953University of Florida College of Law, LL.B., 1955']",['Jimmy Carter'],['death']
"Davis, Edward Bertrand",https://www.fjc.gov/history/judges/davis-edward-bertrand,history/judges/davis-edward-bertrand,['1933'],"['October 4, 1979']",['U.S. District Court for the Southern District of Florida'],['2010'],"['University of Florida College of Law, J.D., 1960New York University School of Law, LL.M., 1961']",['Jimmy Carter'],['retirement']
"Higby, Lynn Carlton",https://www.fjc.gov/history/judges/higby-lynn-carlton,history/judges/higby-lynn-carlton,['1938'],"['October 4, 1979']",['U.S. District Court for the Northern District of Florida'],['1992'],"['Emory University, B.A., 1960Emory University School of Law, LL.B., 1962']",['Jimmy Carter'],['resignation']
"Paine, James Carriger",https://www.fjc.gov/history/judges/paine-james-carriger,history/judges/paine-james-carriger,['1924'],"['October 4, 1979']",['U.S. District Court for the Southern District of Florida'],['2010'],"['University of Florida, A.A., 1943Columbia Business School, B.S., 1947University of Virginia School of Law, LL.B., 1950']",['Jimmy Carter'],['death']
"Kehoe, James W.",https://www.fjc.gov/history/judges/kehoe-james-w,history/judges/kehoe-james-w,['1925'],"['October 4, 1979']",['U.S. District Court for the Southern District of Florida'],['1998'],"['University of Florida, A.A., 1947University of Florida College of Law, LL.B., 1950']",['Jimmy Carter'],['death']
"Hastings, Alcee Lamar",https://www.fjc.gov/history/judges/hastings-alcee-lamar,history/judges/hastings-alcee-lamar,['1936'],"['October 31, 1979']",['U.S. District Court for the Southern District of Florida'],[],"['Howard University School of LawFisk University, B.A., 1958Florida A&M University College of Law, J.D., 1963']",['Jimmy Carter'],['impeachment and conviction']
"Moore, John Henry II",https://www.fjc.gov/history/judges/moore-john-henry-ii,history/judges/moore-john-henry-ii,['1929'],"['November 24, 1981']",['U.S. District Court for the Middle District of Florida'],['2013'],"['Syracuse University, B.S., 1952University of Florida College of Law, J.D., 1961']",['Ronald Reagan'],['death']
"Kovachevich, Elizabeth Anne",https://www.fjc.gov/history/judges/kovachevich-elizabeth-anne,history/judges/kovachevich-elizabeth-anne,['1936'],"['March 4, 1982']",['U.S. District Court for the Middle District of Florida'],[],"['St. Petersburg Junior College, A.A., 1956University of Miami, B.B.A., 1958Stetson University College of Law, J.D., 1961']",['Ronald Reagan'],[]
"Paul, Maurice Mitchell",https://www.fjc.gov/history/judges/paul-maurice-mitchell,history/judges/paul-maurice-mitchell,['1932'],"['June 18, 1982']",['U.S. District Court for the Northern District of Florida'],['2016'],"['University of Florida, B.S.B.A., 1954University of Florida College of Law, LL.B., 1960']",['Ronald Reagan'],['death']
"Vinson, Clyde Roger",https://www.fjc.gov/history/judges/vinson-clyde-roger,history/judges/vinson-clyde-roger,['1940'],"['October 4, 1983']",['U.S. District Court for the Northern District of Florida'],[],"['U.S. Naval Academy, B.S., 1962Vanderbilt University Law School, J.D., 1971']",['Ronald Reagan'],[]
"Nesbitt, Lenore Carrero",https://www.fjc.gov/history/judges/nesbitt-lenore-carrero,history/judges/nesbitt-lenore-carrero,['1932'],"['November 15, 1983']",['U.S. District Court for the Southern District of Florida'],['2001'],"['Stephens College, A.A., 1952Northwestern University, B.S., 1954University of Miami School of Law, LL.B., 1957']",['Ronald Reagan'],['death']
"Sharp, George Kendall",https://www.fjc.gov/history/judges/sharp-george-kendall,history/judges/sharp-george-kendall,['1934'],"['November 15, 1983']",['U.S. District Court for the Middle District of Florida'],[],"['Yale University, B.A., 1957University of Virginia School of Law, J.D., 1963']",['Ronald Reagan'],[]
"Marcus, Stanley",https://www.fjc.gov/history/judges/marcus-stanley,history/judges/marcus-stanley,['1946'],"['July 16, 1985', 'November 7, 1997']",['U.S. District Court for the Southern District of Florida'],[],"['Queens College, City University of New York, B.A., 1967Harvard Law School, J.D., 1971']","['Ronald Reagan', 'William J. Clinton']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Eleventh CircuitNominated by William J. Clinton on September 25, 1997, to a seat vacated by Peter Thorp Fay. Confirmed by the Senate on November 7, 1997, and received commission on November 12, 1997.']"
"Scott, Thomas Emerson, Jr.",https://www.fjc.gov/history/judges/scott-thomas-emerson-jr,history/judges/scott-thomas-emerson-jr,['1948'],"['July 16, 1985']",['U.S. District Court for the Southern District of Florida'],[],"['University of Miami, B.A., 1969University of Miami School of Law, J.D., 1972University of Virginia School of Law, LL.M., 1989']",['Ronald Reagan'],['resignation']
"Zloch, William J.",https://www.fjc.gov/history/judges/zloch-william-j,history/judges/zloch-william-j,['1944'],"['November 1, 1985']",['U.S. District Court for the Southern District of Florida'],[],"['University of Notre Dame, B.A., 1966Notre Dame Law School, J.D., 1974']",['Ronald Reagan'],[]
"Ryskamp, Kenneth L.",https://www.fjc.gov/history/judges/ryskamp-kenneth-l,history/judges/ryskamp-kenneth-l,['1932'],"['April 23, 1986']",['U.S. District Court for the Southern District of Florida'],[],"['Calvin College, A.B., 1955University of Miami School of Law, J.D., 1956']",['Ronald Reagan'],['death']
"Fawsett, Patricia C.",https://www.fjc.gov/history/judges/fawsett-patricia-c,history/judges/fawsett-patricia-c,['1943'],"['June 6, 1986']",['U.S. District Court for the Middle District of Florida'],[],"['University of Florida, B.A., 1965University of Florida, M.A.T., 1966University of Florida College of Law, J.D., 1973']",['Ronald Reagan'],[]
"Moreno, Federico A.",https://www.fjc.gov/history/judges/moreno-federico,history/judges/moreno-federico,['1952'],"['July 13, 1990']",['U.S. District Court for the Southern District of Florida'],[],"['University of Notre Dame, B.A., 1974University of Miami School of Law, J.D., 1978']",['George H.W. Bush'],[]
"Schlesinger, Harvey Erwin",https://www.fjc.gov/history/judges/schlesinger-harvey-erwin,history/judges/schlesinger-harvey-erwin,['1940'],"['June 27, 1991']",['U.S. District Court for the Middle District of Florida'],[],"['The Citadel, B.A., 1962University of Richmond, T.C. Williams School of Law, J.D., 1965']",['George H.W. Bush'],[]
"Nimmons, Ralph Wilson, Jr.",https://www.fjc.gov/history/judges/nimmons-ralph-wilson-jr,history/judges/nimmons-ralph-wilson-jr,['1938'],"['June 27, 1991']",['U.S. District Court for the Middle District of Florida'],['2003'],"['University of Florida, B.A., 1960University of Florida College of Law, J.D., 1963']",['George H.W. Bush'],['death']
"Highsmith, Shelby",https://www.fjc.gov/history/judges/highsmith-shelby,history/judges/highsmith-shelby,['1929'],"['September 12, 1991']",['U.S. District Court for the Southern District of Florida'],['2015'],"['Georgia Military College, A.A., 1949University of Kansas, B.A., 1958Kansas City School of Law (now University of Missouri-Kansas City School of Law), LL.B., 1958']",['George H.W. Bush'],['death']
"Graham, Donald L.",https://www.fjc.gov/history/judges/graham-donald-l,history/judges/graham-donald-l,['1948'],"['September 12, 1991']",['U.S. District Court for the Southern District of Florida'],[],"['West Virginia State College, B.A., 1971Ohio State University College of Law, J.D., 1974']",['George H.W. Bush'],[]
"Collier, Lacey A.",https://www.fjc.gov/history/judges/collier-lacey,history/judges/collier-lacey,['1935'],"['November 15, 1991']",['U.S. District Court for the Northern District of Florida'],[],"['Naval Academy Postgraduate School, B.A., 1970University of West Florida, M.A., 1972University of West Florida, B.A., 1975Florida State University College of Law, J.D., 1977']",['George H.W. Bush'],[]
"Conway, Anne C.",https://www.fjc.gov/history/judges/conway-anne-c,history/judges/conway-anne-c,['1950'],"['November 21, 1991']",['U.S. District Court for the Middle District of Florida'],[],"['John Carroll University, B.A., 1972University of Florida College of Law, J.D., 1975']",['George H.W. Bush'],[]
"Moore, Kevin Michael",https://www.fjc.gov/history/judges/moore-kevin-michael,history/judges/moore-kevin-michael,['1951'],"['February 6, 1992']",['U.S. District Court for the Southern District of Florida'],[],"['Florida State University, B.A., 1972Fordham University School of Law, J.D., 1976']",['George H.W. Bush'],[]
"Merryday, Steven Douglas",https://www.fjc.gov/history/judges/merryday-steven-douglas,history/judges/merryday-steven-douglas,['1950'],"['February 6, 1992']",['U.S. District Court for the Middle District of Florida'],[],"['University of Florida, B.A., 1972University of Florida College of Law, J.D., 1975']",['George H.W. Bush'],[]
"Ungaro, Ursula",https://www.fjc.gov/history/judges/ungaro-ursula,history/judges/ungaro-ursula,['1951'],"['October 8, 1992']",['U.S. District Court for the Southern District of Florida'],[],"['University of Miami, B.A., 1973University of Florida College of Law, J.D., 1975']",['George H.W. Bush'],[]
"Ferguson, Wilkie D., Jr.",https://www.fjc.gov/history/judges/ferguson-wilkie-d-jr,history/judges/ferguson-wilkie-d-jr,['1938'],"['November 20, 1993']",['U.S. District Court for the Southern District of Florida'],['2003'],"['Florida A&M University, B.S., 1960Howard University School of Law, J.D., 1968']",['William J. Clinton'],['death']
"Bucklew, Susan C.",https://www.fjc.gov/history/judges/bucklew-susan-c,history/judges/bucklew-susan-c,['1942'],"['November 20, 1993']",['U.S. District Court for the Middle District of Florida'],[],"['Florida State University, B.A., 1964University of South Florida, M.A., 1968Stetson University College of Law, J.D., 1977']",['William J. Clinton'],[]
"Adams, Henry Lee, Jr.",https://www.fjc.gov/history/judges/adams-henry-lee-jr,history/judges/adams-henry-lee-jr,['1945'],"['November 20, 1993']",['U.S. District Court for the Middle District of Florida'],[],"['Florida A&M University, B.S., 1966Howard University School of Law, J.D., 1969']",['William J. Clinton'],[]
"Hurley, Daniel T. K.",https://www.fjc.gov/history/judges/hurley-daniel-t-k,history/judges/hurley-daniel-t-k,['1943'],"['March 10, 1994']",['U.S. District Court for the Southern District of Florida'],[],"['St. Vincent de Paul Major SeminarySt. Anselm College, A.B., 1964George Washington University Law School, J.D., 1968']",['William J. Clinton'],[]
"Lenard, Joan A.",https://www.fjc.gov/history/judges/lenard-joan,history/judges/lenard-joan,['1952'],"['December 22, 1995']",['U.S. District Court for the Southern District of Florida'],[],"['Rockland Community College, A.A., 1972Roger Williams College, B.A., 1973Antioch Sch. of Law (now Univ. of the District of Columbia, Clarke Sch. of Law), J.D., 1976']",['William J. Clinton'],[]
"Hinkle, Robert Lewis",https://www.fjc.gov/history/judges/hinkle-robert-lewis,history/judges/hinkle-robert-lewis,['1951'],"['July 25, 1996']",['U.S. District Court for the Northern District of Florida'],[],"['Florida State University, B.A., 1972Harvard Law School, J.D., 1976']",['William J. Clinton'],[]
"Middlebrooks, Donald M.",https://www.fjc.gov/history/judges/middlebrooks-donald-m,history/judges/middlebrooks-donald-m,['1946'],"['May 23, 1997']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida, B.S.B.A., 1968University of Florida College of Law, J.D., 1972']",['William J. Clinton'],[]
"Gold, Alan Stephen",https://www.fjc.gov/history/judges/gold-alan-stephen,history/judges/gold-alan-stephen,['1944'],"['June 27, 1997']",['U.S. District Court for the Southern District of Florida'],[],"['University of Florida, B.A., 1966Duke University School of Law, J.D., 1969University of Miami School of Law, LL.M., 1974']",['William J. Clinton'],[]
